w1,w2,bigram,count,probability
pros,:,pros :,6,0.6666666666666666
lacking,.,lacking .,4,0.6666666666666666
swimming,pool,swimming pool,4,0.6666666666666666
brick,wall,brick wall,4,0.6666666666666666
bottle,of,bottle of,11,0.6470588235294118
prior,to,prior to,9,0.6428571428571429
wife,and,wife and,25,0.6410256410256411
want,to,want to,32,0.64
non-smoking,room,non-smoking room,7,0.6363636363636364
near,the,near the,14,0.6363636363636364
failed,to,failed to,5,0.625
<num>nd,floor,<num>nd floor,10,0.625
traveling,with,traveling with,5,0.625
somewhat,<UNK>,somewhat <UNK>,5,0.625
attended,a,attended a,5,0.625
talk,to,talk to,5,0.625
mini,bar,mini bar,10,0.625
part,of,part of,20,0.625
efficient,.,efficient .,5,0.625
courteous,and,courteous and,5,0.625
speak,with,speak with,5,0.625
fix,it,fix it,5,0.625
considering,the,considering the,5,0.625
appeared,to,appeared to,8,0.6153846153846154
living,room,living room,8,0.6153846153846154
per,night,per night,19,0.6129032258064516
walking,distance,walking distance,26,0.6046511627906976
discovered,that,discovered that,3,0.6
europe,.,europe .,3,0.6
cleaning,staff,cleaning staff,6,0.6
credit,card,credit card,9,0.6
instead,of,instead of,15,0.6
homewood,suites,homewood suites,3,0.6
transferred,to,transferred to,3,0.6
john,hancock,john hancock,3,0.6
romantic,weekend,romantic weekend,3,0.6
soda,at,soda at,3,0.6
difficult,to,difficult to,6,0.6
ten,<UNK>,ten <UNK>,3,0.6
standing,in,standing in,3,0.6
thoroughly,enjoyed,thoroughly enjoyed,3,0.6
travelzoo,.,travelzoo .,3,0.6
vacation,",","vacation ,",3,0.6
handed,me,handed me,3,0.6
opinion,.,opinion .,3,0.6
newly,renovated,newly renovated,3,0.6
stains,on,stains on,3,0.6
min,.,min .,3,0.6
contact,with,contact with,3,0.6
august,.,august .,3,0.6
shared,a,shared a,3,0.6
natural,light,natural light,3,0.6
prompt,.,prompt .,3,0.6
complaining,about,complaining about,3,0.6
disturb,sign,disturb sign,3,0.6
explained,that,explained that,3,0.6
muffins,",","muffins ,",3,0.6
ritz,<UNK>,ritz <UNK>,3,0.6
opening,the,opening the,3,0.6
brother,",","brother ,",3,0.6
weather,was,weather was,3,0.6
does,not,does not,18,0.6
anyway,",","anyway ,",3,0.6
millenium,park,millenium park,10,0.5882352941176471
checking,in,checking in,10,0.5882352941176471
attached,to,attached to,7,0.5833333333333334
lot,of,lot of,21,0.5833333333333334
ridiculous,.,ridiculous .,7,0.5833333333333334
hard,rock,hard rock,27,0.574468085106383
facing,the,facing the,4,0.5714285714285714
<num>:<num>pm,.,<num>:<num>pm .,4,0.5714285714285714
allowed,to,allowed to,4,0.5714285714285714
pull,out,pull out,4,0.5714285714285714
grant,park,grant park,4,0.5714285714285714
pleased,with,pleased with,8,0.5714285714285714
notch,.,notch .,4,0.5714285714285714
seem,to,seem to,8,0.5714285714285714
etc,.,etc .,22,0.5641025641025641
throughout,the,throughout the,9,0.5625
thanks,to,thanks to,5,0.5555555555555556
everywhere,.,everywhere .,5,0.5555555555555556
screen,tv,screen tv,11,0.55
ambassador,east,ambassador east,17,0.5483870967741935
state,street,state street,6,0.5454545454545454
behind,the,behind the,6,0.5454545454545454
woke,up,woke up,6,0.5454545454545454
cozy,and,cozy and,6,0.5454545454545454
checked,in,checked in,29,0.5370370370370371
highly,recommend,highly recommend,15,0.5357142857142857
greeted,by,greeted by,8,0.5333333333333333
check,in,check in,43,0.5308641975308642
unfortunately,",","unfortunately ,",10,0.5263157894736842
sun,terrace,sun terrace,2,0.5
figure,out,figure out,3,0.5
nowhere,to,nowhere to,2,0.5
equipment,.,equipment .,2,0.5
queens,.,queens .,2,0.5
west,of,west of,2,0.5
june,.,june .,4,0.5
overlooking,the,overlooking the,2,0.5
occasions,.,occasions .,2,0.5
breads,",","breads ,",2,0.5
chosen,the,chosen the,2,0.5
discover,that,discover that,3,0.5
pressure,was,pressure was,3,0.5
gem,!,gem !,2,0.5
forgot,to,forgot to,2,0.5
slept,in,slept in,7,0.5
thankfully,the,thankfully the,2,0.5
life,.,life .,4,0.5
in-room,coffee,in-room coffee,3,0.5
attitude,.,attitude .,3,0.5
types,of,types of,2,0.5
answer,the,answer the,2,0.5
present,upon,present upon,2,0.5
dust,.,dust .,2,0.5
february,<num>,february <num>,2,0.5
rental,car,rental car,2,0.5
monday,",","monday ,",2,0.5
arranged,for,arranged for,4,0.5
number,of,number of,5,0.5
unprofessional,",","unprofessional ,",2,0.5
posted,on,posted on,2,0.5
redeeming,quality,redeeming quality,2,0.5
cramped,.,cramped .,4,0.5
effort,to,effort to,2,0.5
marble,<UNK>,marble <UNK>,2,0.5
flights,of,flights of,2,0.5
cases,the,cases the,2,0.5
address,in,address in,2,0.5
discount,.,discount .,2,0.5
confirm,the,confirm the,2,0.5
painted,over,painted over,2,0.5
ours,.,ours .,2,0.5
attractive,",","attractive ,",2,0.5
wet,bar,wet bar,2,0.5
keys,and,keys and,2,0.5
tucked,away,tucked away,2,0.5
soon,as,soon as,4,0.5
whatsoever,.,whatsoever .,2,0.5
crowded,.,crowded .,2,0.5
needed,to,needed to,8,0.5
excuse,to,excuse to,2,0.5
budget,hotel,budget hotel,2,0.5
clear,of,clear of,2,0.5
amount,of,amount of,2,0.5
stark,white,stark white,2,0.5
option,.,option .,3,0.5
disapointed,.,disapointed .,2,0.5
reasonably,well,reasonably well,2,0.5
capacity,with,capacity with,2,0.5
meantime,",","meantime ,",2,0.5
department,<UNK>,department <UNK>,2,0.5
figured,out,figured out,2,0.5
boys,.,boys .,2,0.5
italian,restaurant,italian restaurant,2,0.5
correctly,.,correctly .,2,0.5
spoke,with,spoke with,2,0.5
downside,is,downside is,2,0.5
miss,the,miss the,2,0.5
realized,that,realized that,2,0.5
hi,<UNK>,hi <UNK>,2,0.5
stylish,.,stylish .,2,0.5
well-appointed,",","well-appointed ,",2,0.5
choices,in,choices in,2,0.5
exposed,<UNK>,exposed <UNK>,2,0.5
dirt,and,dirt and,2,0.5
boutique,hotel,boutique hotel,7,0.5
travelling,with,travelling with,2,0.5
tribune,<UNK>,tribune <UNK>,2,0.5
ours,was,ours was,2,0.5
traveled,to,traveled to,3,0.5
explain,how,explain how,2,0.5
streets,and,streets and,2,0.5
teenage,son,teenage son,2,0.5
anytime,i,anytime i,2,0.5
meantime,.,meantime .,2,0.5
cheerful,.,cheerful .,2,0.5
exactly,what,exactly what,4,0.5
eve,.,eve .,2,0.5
multiple,staff,multiple staff,2,0.5
solid,.,solid .,2,0.5
sliding,door,sliding door,2,0.5
american,girl,american girl,3,0.5
bowl,of,bowl of,2,0.5
clear,.,clear .,2,0.5
started,to,started to,4,0.5
millennium,park,millennium park,4,0.5
unfriendly,and,unfriendly and,2,0.5
field,",","field ,",2,0.5
possibly,want,possibly want,2,0.5
excited,about,excited about,3,0.5
spotless,and,spotless and,2,0.5
wants,to,wants to,2,0.5
smiling,and,smiling and,2,0.5
chic,and,chic and,3,0.5
suppose,to,suppose to,2,0.5
strongly,<UNK>,strongly <UNK>,2,0.5
peninsula,",","peninsula ,",4,0.5
facilities,.,facilities .,2,0.5
zest,is,zest is,2,0.5
excuse,for,excuse for,2,0.5
clock,.,clock .,2,0.5
claim,to,claim to,2,0.5
opposite,.,opposite .,2,0.5
choices,",","choices ,",2,0.5
game,on,game on,2,0.5
inch,<UNK>,inch <UNK>,2,0.5
plate,with,plate with,2,0.5
pulled,the,pulled the,2,0.5
built,in,built in,3,0.5
chairs,",","chairs ,",4,0.5
assigned,to,assigned to,4,0.5
children,and,children and,2,0.5
local,calls,local calls,2,0.5
constant,<UNK>,constant <UNK>,2,0.5
ambiance,.,ambiance .,2,0.5
blues,<UNK>,blues <UNK>,2,0.5
removed,the,removed the,3,0.5
diamond,<UNK>,diamond <UNK>,2,0.5
exceptionally,clean,exceptionally clean,2,0.5
shows,.,shows .,2,0.5
worried,that,worried that,2,0.5
tourist,<UNK>,tourist <UNK>,2,0.5
trendy,",","trendy ,",3,0.5
corrected,",","corrected ,",2,0.5
insult,to,insult to,2,0.5
picked,the,picked the,4,0.5
odd,and,odd and,2,0.5
via,<UNK>,via <UNK>,5,0.5
remembered,that,remembered that,2,0.5
seemed,to,seemed to,12,0.5
solid,<num>,solid <num>,2,0.5
ourselves,.,ourselves .,2,0.5
child,",","child ,",2,0.5
run,down,run down,3,0.5
w,hotel,w hotel,3,0.5
trump,tower,trump tower,2,0.5
apartment,.,apartment .,2,0.5
],</s>,] </s>,2,0.5
-the,cleaning,-the cleaning,2,0.5
closets,.,closets .,2,0.5
champagne,.,champagne .,2,0.5
stark,and,stark and,2,0.5
opposite,the,opposite the,2,0.5
boyfriend,and,boyfriend and,3,0.5
worth,the,worth the,20,0.4878048780487805
blocks,from,blocks from,13,0.48148148148148145
across,the,across the,11,0.4782608695652174
downtown,chicago,downtown chicago,21,0.4772727272727273
upgraded,to,upgraded to,10,0.47619047619047616
double,beds,double beds,10,0.47619047619047616
if,you,if you,95,0.475
leave,the,leave the,9,0.47368421052631576
expectations,.,expectations .,9,0.47368421052631576
returned,from,returned from,16,0.47058823529411764
sit,in,sit in,7,0.4666666666666667
smoking,room,smoking room,7,0.4666666666666667
pier,.,pier .,14,0.4666666666666667
recommend,this,recommend this,32,0.463768115942029
red,line,red line,6,0.46153846153846156
public,transportation,public transportation,6,0.46153846153846156
class,.,class .,6,0.46153846153846156
overall,",","overall ,",16,0.45714285714285713
using,the,using the,5,0.45454545454545453
none,of,none of,5,0.45454545454545453
uncomfortable,.,uncomfortable .,5,0.45454545454545453
minute,walk,minute walk,10,0.45454545454545453
roll,away,roll away,5,0.45454545454545453
stayed,at,stayed at,105,0.4525862068965517
staying,at,staying at,26,0.4482758620689655
spacious,and,spacious and,17,0.4473684210526316
at,the,at the,332,0.44563758389261743
rest,of,rest of,4,0.4444444444444444
happened,.,happened .,8,0.4444444444444444
fitness,center,fitness center,8,0.4444444444444444
worse,.,worse .,4,0.4444444444444444
plan,on,plan on,4,0.4444444444444444
asking,for,asking for,4,0.4444444444444444
turn,down,turn down,7,0.4375
going,to,going to,21,0.4375
robes,and,robes and,3,0.42857142857142855
boutique,hotels,boutique hotels,6,0.42857142857142855
robes,",","robes ,",3,0.42857142857142855
yes,",","yes ,",9,0.42857142857142855
stained,",","stained ,",3,0.42857142857142855
fish,when,fish when,3,0.42857142857142855
gold,coast,gold coast,3,0.42857142857142855
drake,hotel,drake hotel,3,0.42857142857142855
roof,inn,roof inn,3,0.42857142857142855
list,of,list of,3,0.42857142857142855
encountered,.,encountered .,3,0.42857142857142855
moment,i,moment i,3,0.42857142857142855
theater,.,theater .,3,0.42857142857142855
nearby,.,nearby .,6,0.42857142857142855
art,institute,art institute,9,0.42857142857142855
advance,.,advance .,3,0.42857142857142855
luxurious,.,luxurious .,3,0.42857142857142855
showed,that,showed that,3,0.42857142857142855
correct,the,correct the,3,0.42857142857142855
except,for,except for,3,0.42857142857142855
drake,",","drake ,",3,0.42857142857142855
stuck,with,stuck with,3,0.42857142857142855
helped,me,helped me,3,0.42857142857142855
less,than,less than,12,0.42857142857142855
queen,beds,queen beds,3,0.42857142857142855
care,of,care of,9,0.42857142857142855
upscale,hotel,upscale hotel,3,0.42857142857142855
returning,to,returning to,3,0.42857142857142855
handle,the,handle the,3,0.42857142857142855
calling,the,calling the,3,0.42857142857142855
hancock,tower,hancock tower,3,0.42857142857142855
peeling,off,peeling off,3,0.42857142857142855
loved,the,loved the,19,0.4222222222222222
either,.,either .,8,0.42105263157894735
arrival,",","arrival ,",8,0.42105263157894735
such,a,such a,16,0.42105263157894735
surprised,by,surprised by,5,0.4166666666666667
enjoyed,the,enjoyed the,12,0.41379310344827586
requested,a,requested a,14,0.4117647058823529
including,the,including the,7,0.4117647058823529
from,the,from the,149,0.40821917808219177
matter,to,matter to,2,0.4
#,<num>,# <num>,2,0.4
washington,dc,washington dc,2,0.4
fan,of,fan of,4,0.4
spread,out,spread out,2,0.4
bucks,a,bucks a,2,0.4
plasma,tv,plasma tv,2,0.4
newly,<UNK>,newly <UNK>,2,0.4
products,",","products ,",2,0.4
weekends,.,weekends .,2,0.4
handy,as,handy as,2,0.4
bags,.,bags .,4,0.4
continued,to,continued to,2,0.4
#,and,# and,2,0.4
slippers,",","slippers ,",2,0.4
ahead,and,ahead and,2,0.4
ahead,to,ahead to,2,0.4
plasma,<UNK>,plasma <UNK>,2,0.4
luckily,",","luckily ,",2,0.4
classy,and,classy and,2,0.4
shared,the,shared the,2,0.4
elsewhere,.,elsewhere .,4,0.4
lying,.,lying .,2,0.4
breathtaking,views,breathtaking views,2,0.4
sleeping,in,sleeping in,2,0.4
properties,.,properties .,4,0.4
sleeping,on,sleeping on,2,0.4
personal,<UNK>,personal <UNK>,4,0.4
relatively,low,relatively low,2,0.4
showers,with,showers with,2,0.4
washington,.,washington .,2,0.4
taste,in,taste in,2,0.4
layout,of,layout of,2,0.4
watching,the,watching the,2,0.4
coast,neighborhood,coast neighborhood,2,0.4
letter,to,letter to,2,0.4
cake,.,cake .,2,0.4
toward,the,toward the,2,0.4
comment,on,comment on,2,0.4
afternoon,and,afternoon and,2,0.4
advisor,and,advisor and,2,0.4
chicken,<UNK>,chicken <UNK>,2,0.4
rain,<UNK>,rain <UNK>,2,0.4
goes,for,goes for,2,0.4
midway,airport,midway airport,2,0.4
hrh,in,hrh in,2,0.4
wallpaper,is,wallpaper is,2,0.4
missing,.,missing .,4,0.4
august,<num>,august <num>,2,0.4
beverages,like,beverages like,2,0.4
four,seasons,four seasons,8,0.4
sights,of,sights of,2,0.4
inconvenience,.,inconvenience .,2,0.4
notice,that,notice that,2,0.4
bellman,",","bellman ,",4,0.4
march,<num>,march <num>,2,0.4
europe,",","europe ,",2,0.4
happen,to,happen to,2,0.4
received,a,received a,8,0.4
enjoy,the,enjoy the,6,0.4
course,",","course ,",6,0.4
<num>:<num>,pm,<num>:<num> pm,6,0.4
conditioning,did,conditioning did,2,0.4
glasses,for,glasses for,2,0.4
standing,there,standing there,2,0.4
explained,the,explained the,2,0.4
bellmen,to,bellmen to,2,0.4
missed,the,missed the,2,0.4
toiletries,.,toiletries .,4,0.4
moved,to,moved to,4,0.4
news,:,news :,2,0.4
goldfish,in,goldfish in,2,0.4
museums,and,museums and,2,0.4
yummy,!,yummy !,2,0.4
<num>st,<UNK>,<num>st <UNK>,2,0.4
pastries,",","pastries ,",2,0.4
yummy,.,yummy .,2,0.4
matter,what,matter what,2,0.4
easy,to,easy to,10,0.4
thinking,of,thinking of,2,0.4
written,confirmation,written confirmation,2,0.4
pick,this,pick this,2,0.4
certain,<UNK>,certain <UNK>,2,0.4
consider,staying,consider staying,2,0.4
thoroughly,recommend,thoroughly recommend,2,0.4
greeting,from,greeting from,2,0.4
virtually,no,virtually no,2,0.4
incident,i,incident i,2,0.4
museums,",","museums ,",2,0.4
seeing,the,seeing the,2,0.4
provides,a,provides a,2,0.4
rain,shower,rain shower,2,0.4
drove,me,drove me,2,0.4
save,the,save the,2,0.4
fare,.,fare .,2,0.4
girlfriends,and,girlfriends and,2,0.4
facility,.,facility .,2,0.4
directions,",","directions ,",2,0.4
switch,rooms,switch rooms,2,0.4
certificate,.,certificate .,2,0.4
situated,on,situated on,2,0.4
prepared,for,prepared for,2,0.4
glass,of,glass of,4,0.4
flight,.,flight .,2,0.4
incident,",","incident ,",2,0.4
lying,on,lying on,2,0.4
history,of,history of,2,0.4
into,the,into the,17,0.3953488372093023
helpful,.,helpful .,37,0.3894736842105263
fine,.,fine .,7,0.3888888888888889
ok,",","ok ,",7,0.3888888888888889
husband,and,husband and,14,0.3888888888888889
opened,the,opened the,5,0.38461538461538464
entrance,",","entrance ,",5,0.38461538461538464
end,of,end of,10,0.38461538461538464
walk,to,walk to,26,0.38235294117647056
itself,was,itself was,8,0.38095238095238093
star,hotel,star hotel,19,0.38
else,.,else .,11,0.3793103448275862
within,walking,within walking,14,0.3783783783783784
ipod,dock,ipod dock,3,0.375
picked,up,picked up,3,0.375
bug,bites,bug bites,3,0.375
confirmed,my,confirmed my,3,0.375
definately,stay,definately stay,3,0.375
juice,and,juice and,3,0.375
pleasure,.,pleasure .,3,0.375
seasons,",","seasons ,",3,0.375
ask,for,ask for,6,0.375
definately,recommend,definately recommend,3,0.375
girls,weekend,girls weekend,3,0.375
asked,for,asked for,27,0.375
failed,<UNK>,failed <UNK>,3,0.375
degrees,.,degrees .,3,0.375
appreciated,.,appreciated .,3,0.375
delicious,.,delicious .,3,0.375
traffic,",","traffic ,",3,0.375
fell,off,fell off,3,0.375
smile,and,smile and,3,0.375
starbucks,in,starbucks in,3,0.375
welcoming,and,welcoming and,3,0.375
promised,to,promised to,3,0.375
again,.,again .,60,0.37267080745341613
need,to,need to,17,0.3695652173913043
do,n't,do n't,62,0.36904761904761907
despite,the,despite the,7,0.3684210526315789
over,the,over the,28,0.3684210526315789
distance,to,distance to,11,0.36666666666666664
awesome,",","awesome ,",4,0.36363636363636365
station,.,station .,4,0.36363636363636365
seems,to,seems to,4,0.36363636363636365
neighborhood,.,neighborhood .,4,0.36363636363636365
polite,",","polite ,",4,0.36363636363636365
group,of,group of,4,0.36363636363636365
complained,to,complained to,4,0.36363636363636365
terrible,.,terrible .,4,0.36363636363636365
renovation,.,renovation .,4,0.36363636363636365
king,bed,king bed,16,0.36363636363636365
beat,the,beat the,4,0.36363636363636365
beat,.,beat .,4,0.36363636363636365
terrific,",","terrific ,",4,0.36363636363636365
leaving,the,leaving the,4,0.36363636363636365
gave,us,gave us,16,0.36363636363636365
minibar,",","minibar ,",4,0.36363636363636365
ate,at,ate at,4,0.36363636363636365
garage,manager,garage manager,4,0.36363636363636365
should,have,should have,13,0.3611111111111111
pillows,.,pillows .,9,0.36
friendly,and,friendly and,37,0.3592233009708738
shampoo,",","shampoo ,",5,0.35714285714285715
chose,to,chose to,5,0.35714285714285715
him,to,him to,5,0.35714285714285715
inside,the,inside the,5,0.35714285714285715
on,the,on the,228,0.35625
did,not,did not,91,0.35546875
during,the,during the,17,0.3541666666666667
coming,back,coming back,6,0.35294117647058826
looked,like,looked like,12,0.35294117647058826
pay,for,pay for,12,0.35294117647058826
bell,<UNK>,bell <UNK>,6,0.35294117647058826
ordered,room,ordered room,6,0.35294117647058826
oh,",","oh ,",6,0.35294117647058826
set,up,set up,6,0.35294117647058826
this,hotel,this hotel,208,0.3501683501683502
must,have,must have,8,0.34782608695652173
love,the,love the,8,0.34782608695652173
cab,ride,cab ride,8,0.34782608695652173
did,n't,did n't,89,0.34765625
places,to,places to,10,0.3448275862068966
gave,me,gave me,15,0.3409090909090909
view,of,view of,35,0.33980582524271846
away,from,away from,19,0.3392857142857143
went,to,went to,24,0.3380281690140845
mirror,in,mirror in,2,0.3333333333333333
ok,.,ok .,6,0.3333333333333333
amazing,.,amazing .,7,0.3333333333333333
daily,fee,daily fee,2,0.3333333333333333
stays,at,stays at,3,0.3333333333333333
light,<UNK>,light <UNK>,5,0.3333333333333333
smoke,.,smoke .,2,0.3333333333333333
third,time,third time,3,0.3333333333333333
comparable,to,comparable to,2,0.3333333333333333
friends,and,friends and,7,0.3333333333333333
institute,and,institute and,3,0.3333333333333333
<num>rd,floor,<num>rd floor,4,0.3333333333333333
brand,name,brand name,2,0.3333333333333333
choice,for,choice for,6,0.3333333333333333
often,and,often and,2,0.3333333333333333
chocolate,package,chocolate package,2,0.3333333333333333
cup,of,cup of,2,0.3333333333333333
bargain,.,bargain .,2,0.3333333333333333
sound,system,sound system,4,0.3333333333333333
bother,us,bother us,2,0.3333333333333333
machine,in,machine in,2,0.3333333333333333
attitude,of,attitude of,2,0.3333333333333333
duty,.,duty .,2,0.3333333333333333
attending,a,attending a,2,0.3333333333333333
monoco,do,monoco do,2,0.3333333333333333
sad,.,sad .,2,0.3333333333333333
monoco,.,monoco .,2,0.3333333333333333
program,.,program .,3,0.3333333333333333
policy,.,policy .,4,0.3333333333333333
filthy,dirty,filthy dirty,2,0.3333333333333333
literally,<UNK>,literally <UNK>,2,0.3333333333333333
watch,the,watch the,2,0.3333333333333333
january,.,january .,2,0.3333333333333333
pass,on,pass on,2,0.3333333333333333
sweet,<UNK>,sweet <UNK>,2,0.3333333333333333
carpets,were,carpets were,2,0.3333333333333333
<num>/day,valet,<num>/day valet,2,0.3333333333333333
beer,",","beer ,",2,0.3333333333333333
brand,.,brand .,2,0.3333333333333333
irish,<UNK>,irish <UNK>,2,0.3333333333333333
trips,.,trips .,2,0.3333333333333333
limited,hours,limited hours,2,0.3333333333333333
built,into,built into,2,0.3333333333333333
avenue,.,avenue .,9,0.3333333333333333
channels,.,channels .,2,0.3333333333333333
luxury,hotels,luxury hotels,2,0.3333333333333333
mold,and,mold and,2,0.3333333333333333
hanging,out,hanging out,2,0.3333333333333333
foot,<UNK>,foot <UNK>,2,0.3333333333333333
<num>:<num>,am,<num>:<num> am,5,0.3333333333333333
advertised,on,advertised on,2,0.3333333333333333
impression,was,impression was,2,0.3333333333333333
items,in,items in,3,0.3333333333333333
confused,as,confused as,2,0.3333333333333333
important,to,important to,2,0.3333333333333333
brick,walls,brick walls,2,0.3333333333333333
carpets,in,carpets in,2,0.3333333333333333
@,the,@ the,2,0.3333333333333333
complaints,.,complaints .,4,0.3333333333333333
lighting,.,lighting .,2,0.3333333333333333
hope,that,hope that,2,0.3333333333333333
website,.,website .,9,0.3333333333333333
serves,a,serves a,2,0.3333333333333333
professional,and,professional and,3,0.3333333333333333
total,of,total of,2,0.3333333333333333
w,hotels,w hotels,2,0.3333333333333333
otherwise,",","otherwise ,",4,0.3333333333333333
confused,and,confused and,2,0.3333333333333333
ago,",","ago ,",3,0.3333333333333333
saying,that,saying that,3,0.3333333333333333
calls,and,calls and,4,0.3333333333333333
irish,bar,irish bar,2,0.3333333333333333
conditioner,",","conditioner ,",3,0.3333333333333333
weeks,.,weeks .,3,0.3333333333333333
scene,in,scene in,2,0.3333333333333333
towel,<UNK>,towel <UNK>,2,0.3333333333333333
bottles,of,bottles of,3,0.3333333333333333
ice,machine,ice machine,3,0.3333333333333333
added,bonus,added bonus,4,0.3333333333333333
removed,",","removed ,",2,0.3333333333333333
design,and,design and,2,0.3333333333333333
historic,tower,historic tower,4,0.3333333333333333
favorite,hotel,favorite hotel,4,0.3333333333333333
live,in,live in,4,0.3333333333333333
hanging,on,hanging on,2,0.3333333333333333
complete,with,complete with,3,0.3333333333333333
below,<num>,below <num>,4,0.3333333333333333
american,<UNK>,american <UNK>,2,0.3333333333333333
scene,with,scene with,2,0.3333333333333333
outstanding,.,outstanding .,2,0.3333333333333333
waste,of,waste of,2,0.3333333333333333
add,insult,add insult,2,0.3333333333333333
menu,.,menu .,3,0.3333333333333333
waste,your,waste your,2,0.3333333333333333
face,.,face .,2,0.3333333333333333
meeting,.,meeting .,3,0.3333333333333333
bother,to,bother to,2,0.3333333333333333
lights,<UNK>,lights <UNK>,2,0.3333333333333333
white,walls,white walls,3,0.3333333333333333
in-room,<UNK>,in-room <UNK>,2,0.3333333333333333
trips,to,trips to,2,0.3333333333333333
linens,were,linens were,3,0.3333333333333333
smelled,of,smelled of,3,0.3333333333333333
happened,to,happened to,6,0.3333333333333333
channels,and,channels and,2,0.3333333333333333
fees,were,fees were,2,0.3333333333333333
ta,.,ta .,2,0.3333333333333333
spending,a,spending a,2,0.3333333333333333
ago,.,ago .,3,0.3333333333333333
perhaps,the,perhaps the,4,0.3333333333333333
reserved,a,reserved a,3,0.3333333333333333
gift,certificate,gift certificate,4,0.3333333333333333
impossible,.,impossible .,2,0.3333333333333333
older,hotel,older hotel,5,0.3333333333333333
surprised,that,surprised that,4,0.3333333333333333
monoco,in,monoco in,2,0.3333333333333333
filthy,and,filthy and,2,0.3333333333333333
beer,bottles,beer bottles,2,0.3333333333333333
today,(,today (,2,0.3333333333333333
